rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2511.01177v2,Scaling Cross-Embodiment World Models for Dexterous Manipulation,2025,arXiv,http://arxiv.org/abs/2511.01177v2,Addresses cross-embodiment robot policy transfer or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Cross embodiment force vocabularies keeps action-critical alternatives explicit until a physical observation collapses them.
2,arxiv:2412.15166v1,Human-Humanoid Robots Cross-Embodiment Behavior-Skill Transfer Using Decomposed Adversarial Learning from Demonstration,2024,arXiv,http://arxiv.org/abs/2412.15166v1,Addresses cross-embodiment robot policy transfer or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Cross embodiment force vocabularies keeps action-critical alternatives explicit until a physical observation collapses them.
3,arxiv:2605.23733v1,Any2Any: Efficient Cross-Embodiment Transfer for Humanoid Whole-Body Tracking,2026,arXiv,http://arxiv.org/abs/2605.23733v1,Addresses cross-embodiment robot policy transfer or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Cross embodiment force vocabularies keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1002/aisy.202100047,Interactive Force Control Based on Multimodal Robot Skin for Physical Human−Robot Collaboration,2022,Advanced Intelligent Systems,https://doi.org/10.1002/aisy.202100047,Addresses cross-embodiment robot policy transfer or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Cross embodiment force vocabularies keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.21203/rs.3.rs-9525948/v1,"Domain-Generalizable Emotion Recognition across Social Media, Sitcom Dialogues, and Online Video Transcripts via Large Language Model-Guided Invariant Emotion Explanations",,,https://doi.org/10.21203/rs.3.rs-9525948/v1,Addresses cross-embodiment robot policy transfer or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Cross embodiment force vocabularies keeps action-critical alternatives explicit until a physical observation collapses them.
6,arxiv:2512.01946v3,Scaling Cross-Environment Failure Reasoning Data for Vision-Language Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2512.01946v3,Addresses cross-embodiment robot policy transfer or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Cross embodiment force vocabularies keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.31221/osf.io/v2ncb,Predictive model on the effect of restrictor on transfer function parameters on pneumatic control system,,,https://doi.org/10.31221/osf.io/v2ncb,Addresses cross-embodiment robot policy transfer or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Cross embodiment force vocabularies keeps action-critical alternatives explicit until a physical observation collapses them.
8,arxiv:2512.13100v1,OXE-AugE: A Large-Scale Robot Augmentation of OXE for Scaling Cross-Embodiment Policy Learning,2025,arXiv,http://arxiv.org/abs/2512.13100v1,Addresses cross-embodiment robot policy transfer or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Cross embodiment force vocabularies keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1109/lra.2024.3360013,Transferability in the Automatic Off-Line Design of Robot Swarms: From Sim-to-Real to Embodiment and Design-Method Transfer Across Different Platforms,2024,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2024.3360013,Addresses cross-embodiment robot policy transfer or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Cross embodiment force vocabularies keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.3390/robotics14120180,Sim2Real Transfer of Imitation Learning of Motion Control for Car-like Mobile Robots Using Digital Twin Testbed,2025,Robotics,https://doi.org/10.3390/robotics14120180,Addresses cross-embodiment robot policy transfer or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Cross embodiment force vocabularies keeps action-critical alternatives explicit until a physical observation collapses them.
